user_id,labels
513519364,Geek.Fashionista.Mid_Consumer
513070340,Early_bird.Culinarian.Geek.Lifestyle.Mid_Consumer
568195981,Culinarian.Audiophile.Fashionista.Lifestyle
519172177,Geek.Fashionista.Mid_Consumer
514322084,Brand_loyalty.Fashionista.Lifestyle
567804662,Brand_loyalty.Maker.Mid_Consumer
580149815,Fashionista.Fashionista.Lifestyle.Mid_Consumer
519557969,Fashionista
521166858,Culinarian.Geek.high_consumer
526531633,Brand_loyalty.Culinarian
578922518,Fashionista.Caregiver.high_consumer
580200237,Brand_loyalty.Maker.Audiophile.Fashionista
524529052,Fashionista.Caregiver.Mid_Consumer
565094458,Fashionista.Fashionista.Mid_Consumer
580012971,Night_owl.Maker.Fashionista.high_consumer
577563090,Night_owl.Lifestyle.Caregiver.Mid_Consumer
569073244,Early_bird.Homebody.Fashionista.Caregiver.Mid_Consumer
536204988,Brand_loyalty.Fashionista.Lifestyle.Mid_Consumer
577698383,Fashionista.Car_Enthusiast
566744377,Maker.Fashionista.Mid_Consumer
514118807,Culinarian.Photophile.Fashionista.Mid_Consumer
545277927,Brand_loyalty.Culinarian.Fashionista
535703475,Homebody.Culinarian.Lifestyle.Mid_Consumer
543787975,Early_bird.Brand_loyalty.Culinarian.Lifestyle.Caregiver
512605511,Geek.Fashionista.Mid_Consumer
576873107,Decisive.Fashionista.Farm.high_consumer
513056434,Geek.Fashionista
571759469,Culinarian.Fashionista.Mid_Consumer
529165224,Geek.Fashionista.Caregiver
549805475,Brand_loyalty.Maker.Culinarian.Lifestyle.Mid_Consumer
580315354,Fashionista.Fashionista
571806369,Culinarian.Fashionista.Lifestyle
513282084,Brand_loyalty.Maker.Lifestyle.Mid_Consumer
516373058,Maker.Photophile.Media_Aficionado.Mid_Consumer
512578524,Brand_loyalty.Photophile.Media_Aficionado.Lifestyle.Caregiver
547221486,Early_bird.Mid_Consumer
517440232,Maker.Culinarian.Lifestyle.Mid_Consumer
542915321,Geek.Media_Aficionado.Fashionista
517306450,Maker.Audiophile.Fashionista
568447459,Maker.Culinarian.Fashionista.Mid_Consumer
514966141,Brand_loyalty.Maker.Homebody.Fashionista
